max # buckets,actual # buckets,ground truth split strategy,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
1,1,depth-count,62.243328329160505,0.009349666996620723,4,3.2596153846153846,1.2980769230769231,100.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
2,2,depth-count,17.559060038238766,0.018699333993241446,8,6.519230769230769,2.5961538461538463,200.0,0.0,(<class '__main__.FineGrainedBucket'> : 15.688412751090421) (<class '__main__.FineGrainedBucket'> : 17.962594461279775) 
3,3,depth-count,15.769781884637705,0.028049000989862172,12,9.778846153846153,3.894230769230769,300.0,0.0,(<class '__main__.FineGrainedBucket'> : 8.799461482463677) (<class '__main__.FineGrainedBucket'> : 14.299143485167336) (<class '__main__.FineGrainedBucket'> : 17.488637716323773) 
4,4,depth-count,12.906554739104248,0.03739866798648289,16,13.038461538461538,5.1923076923076925,400.0,0.0,(<class '__main__.FineGrainedBucket'> : 10.45728966139798) (<class '__main__.FineGrainedBucket'> : 6.129493887647711) (<class '__main__.FineGrainedBucket'> : 11.755727869254518) (<class '__main__.FineGrainedBucket'> : 14.652783933460674) 
5,5,depth-count,9.174220045462395,0.04674833498310361,20,16.298076923076923,6.490384615384616,500.0,0.0,(<class '__main__.FineGrainedBucket'> : 7.641872130256462) (<class '__main__.FineGrainedBucket'> : 5.446900622111596) (<class '__main__.FineGrainedBucket'> : 5.880514904954465) (<class '__main__.FineGrainedBucket'> : 5.734926226490303) (<class '__main__.FineGrainedBucket'> : 11.265886427121288) 
6,6,depth-count,7.493992833531021,0.056098001979724345,24,19.557692307692307,7.788461538461538,600.0,0.0,(<class '__main__.FineGrainedBucket'> : 4.9740383123232945) (<class '__main__.FineGrainedBucket'> : 5.192555868220842) (<class '__main__.FineGrainedBucket'> : 6.301919947281215) (<class '__main__.FineGrainedBucket'> : 4.838704691957423) (<class '__main__.FineGrainedBucket'> : 5.916989716316752) (<class '__main__.FineGrainedBucket'> : 9.031481531464095) 
7,7,depth-count,4.818733466828515,0.06544766897634506,28,22.817307692307693,9.086538461538462,700.0,0.0,(<class '__main__.FineGrainedBucket'> : 5.046435314394974) (<class '__main__.FineGrainedBucket'> : 4.058910541368507) (<class '__main__.FineGrainedBucket'> : 4.725427649196955) (<class '__main__.FineGrainedBucket'> : 3.5957227369894835) (<class '__main__.FineGrainedBucket'> : 3.180032939566611) (<class '__main__.FineGrainedBucket'> : 5.688242235904499) (<class '__main__.FineGrainedBucket'> : 5.536283795434547) 
8,8,depth-count,4.750717040913933,0.07479733597296578,32,26.076923076923077,10.384615384615385,800.0,0.0,(<class '__main__.FineGrainedBucket'> : 4.764988114262031) (<class '__main__.FineGrainedBucket'> : 3.871223695204819) (<class '__main__.FineGrainedBucket'> : 6.626072138444689) (<class '__main__.FineGrainedBucket'> : 2.917636375987153) (<class '__main__.FineGrainedBucket'> : 5.466447232888687) (<class '__main__.FineGrainedBucket'> : 3.3490130387295594) (<class '__main__.FineGrainedBucket'> : 4.296680991833731) (<class '__main__.FineGrainedBucket'> : 4.7127403434547395) 
9,9,depth-count,3.0700695925812322,0.0841470029695865,36,29.336538461538463,11.682692307692308,900.0,0.0,(<class '__main__.FineGrainedBucket'> : 4.241689254766268) (<class '__main__.FineGrainedBucket'> : 3.8201158430875184) (<class '__main__.FineGrainedBucket'> : 5.049177738309948) (<class '__main__.FineGrainedBucket'> : 3.7467712402101943) (<class '__main__.FineGrainedBucket'> : 3.42333514106995) (<class '__main__.FineGrainedBucket'> : 3.117482940030516) (<class '__main__.FineGrainedBucket'> : 4.291028208658955) (<class '__main__.FineGrainedBucket'> : 3.2952165400916855) (<class '__main__.FineGrainedBucket'> : 2.157196481747868) 
10,10,depth-count,2.6700033404399144,0.09349666996620722,40,32.59615384615385,12.980769230769232,1000.0,0.0,(<class '__main__.FineGrainedBucket'> : 3.759010834203346) (<class '__main__.FineGrainedBucket'> : 5.035376488362282) (<class '__main__.FineGrainedBucket'> : 3.5941373608208016) (<class '__main__.FineGrainedBucket'> : 4.250424734800795) (<class '__main__.FineGrainedBucket'> : 3.4252658478665556) (<class '__main__.FineGrainedBucket'> : 3.0837318247985506) (<class '__main__.FineGrainedBucket'> : 2.439283177113716) (<class '__main__.FineGrainedBucket'> : 4.101860734792183) (<class '__main__.FineGrainedBucket'> : 2.9302463277963136) (<class '__main__.FineGrainedBucket'> : 1.9324979837989926) 
11,11,depth-count,2.6588644994168416,0.10284633696282797,44,35.855769230769226,14.278846153846153,1100.0,0.0,(<class '__main__.FineGrainedBucket'> : 3.2935804946224874) (<class '__main__.FineGrainedBucket'> : 4.673646279696462) (<class '__main__.FineGrainedBucket'> : 2.9072427243334276) (<class '__main__.FineGrainedBucket'> : 4.226221143830163) (<class '__main__.FineGrainedBucket'> : 2.728624720645432) (<class '__main__.FineGrainedBucket'> : 2.3721724188980766) (<class '__main__.FineGrainedBucket'> : 3.5389779686114866) (<class '__main__.FineGrainedBucket'> : 3.2229130213255512) (<class '__main__.FineGrainedBucket'> : 3.5304913681594496) (<class '__main__.FineGrainedBucket'> : 2.773936920795035) (<class '__main__.FineGrainedBucket'> : 1.72361670475024) 
12,12,depth-count,2.2838495373834347,0.11219600395944869,48,39.11538461538461,15.576923076923077,1200.0,0.0,(<class '__main__.FineGrainedBucket'> : 3.040933638535094) (<class '__main__.FineGrainedBucket'> : 4.071357189818722) (<class '__main__.FineGrainedBucket'> : 2.348283736312799) (<class '__main__.FineGrainedBucket'> : 3.0762428305855773) (<class '__main__.FineGrainedBucket'> : 3.5433918278776226) (<class '__main__.FineGrainedBucket'> : 2.1610215676850766) (<class '__main__.FineGrainedBucket'> : 3.169615009873639) (<class '__main__.FineGrainedBucket'> : 1.9075365008043628) (<class '__main__.FineGrainedBucket'> : 3.6367337180964268) (<class '__main__.FineGrainedBucket'> : 3.3634731417125905) (<class '__main__.FineGrainedBucket'> : 2.8260925037834985) (<class '__main__.FineGrainedBucket'> : 1.657367056014203) 
13,13,depth-count,2.3556816117859927,0.1215456709560694,52,42.375,16.875,1300.0,0.0,(<class '__main__.FineGrainedBucket'> : 3.003394731915795) (<class '__main__.FineGrainedBucket'> : 4.371255417846726) (<class '__main__.FineGrainedBucket'> : 2.1602130317405814) (<class '__main__.FineGrainedBucket'> : 3.741765311473664) (<class '__main__.FineGrainedBucket'> : 3.0949377174739534) (<class '__main__.FineGrainedBucket'> : 2.6165544473220494) (<class '__main__.FineGrainedBucket'> : 2.343736187156324) (<class '__main__.FineGrainedBucket'> : 2.829311575959564) (<class '__main__.FineGrainedBucket'> : 2.3991641136814974) (<class '__main__.FineGrainedBucket'> : 3.154877857936886) (<class '__main__.FineGrainedBucket'> : 3.2065178728596413) (<class '__main__.FineGrainedBucket'> : 1.9672129922589143) (<class '__main__.FineGrainedBucket'> : 1.6753991873680434) 
14,14,depth-count,2.202761030391085,0.13089533795269012,56,45.63461538461539,18.173076923076923,1400.0,0.0,(<class '__main__.FineGrainedBucket'> : 2.334750131242367) (<class '__main__.FineGrainedBucket'> : 4.590015342436378) (<class '__main__.FineGrainedBucket'> : 2.6401766909804865) (<class '__main__.FineGrainedBucket'> : 2.4290832119773427) (<class '__main__.FineGrainedBucket'> : 3.463941187175962) (<class '__main__.FineGrainedBucket'> : 2.8513242234790486) (<class '__main__.FineGrainedBucket'> : 1.9319389320378926) (<class '__main__.FineGrainedBucket'> : 3.288448159138394) (<class '__main__.FineGrainedBucket'> : 2.258885115402413) (<class '__main__.FineGrainedBucket'> : 1.8667285856094948) (<class '__main__.FineGrainedBucket'> : 3.8780802557015925) (<class '__main__.FineGrainedBucket'> : 3.0595814226929074) (<class '__main__.FineGrainedBucket'> : 2.4036606529916242) (<class '__main__.FineGrainedBucket'> : 1.6960716989508478) 
15,15,depth-count,2.127946548039206,0.14024500494931083,60,48.89423076923077,19.471153846153847,1500.0,0.0,(<class '__main__.FineGrainedBucket'> : 2.215012073043263) (<class '__main__.FineGrainedBucket'> : 5.1458206420207535) (<class '__main__.FineGrainedBucket'> : 2.1356855637925265) (<class '__main__.FineGrainedBucket'> : 1.5409483021921049) (<class '__main__.FineGrainedBucket'> : 2.897341134660399) (<class '__main__.FineGrainedBucket'> : 3.283455828501665) (<class '__main__.FineGrainedBucket'> : 2.839423445977517) (<class '__main__.FineGrainedBucket'> : 2.317808998120361) (<class '__main__.FineGrainedBucket'> : 2.6769188455471253) (<class '__main__.FineGrainedBucket'> : 1.8175713569985739) (<class '__main__.FineGrainedBucket'> : 3.081743942165637) (<class '__main__.FineGrainedBucket'> : 4.1332904599495786) (<class '__main__.FineGrainedBucket'> : 3.0103300950932677) (<class '__main__.FineGrainedBucket'> : 2.095954727228136) (<class '__main__.FineGrainedBucket'> : 1.6234492808452103) 
16,16,depth-count,2.1675257817097124,0.14959467194593157,64,52.15384615384615,20.76923076923077,1600.0,0.0,(<class '__main__.FineGrainedBucket'> : 2.1455057449071258) (<class '__main__.FineGrainedBucket'> : 4.6473495907375675) (<class '__main__.FineGrainedBucket'> : 2.8970523130134636) (<class '__main__.FineGrainedBucket'> : 2.097185402455712) (<class '__main__.FineGrainedBucket'> : 2.4419793671578494) (<class '__main__.FineGrainedBucket'> : 3.82536447531313) (<class '__main__.FineGrainedBucket'> : 2.3242053250084) (<class '__main__.FineGrainedBucket'> : 1.7188311976336614) (<class '__main__.FineGrainedBucket'> : 2.3516464193555238) (<class '__main__.FineGrainedBucket'> : 2.808934271260059) (<class '__main__.FineGrainedBucket'> : 1.5775455929919882) (<class '__main__.FineGrainedBucket'> : 3.7484241262604705) (<class '__main__.FineGrainedBucket'> : 3.0786834867052515) (<class '__main__.FineGrainedBucket'> : 2.9543590704287146) (<class '__main__.FineGrainedBucket'> : 1.9759786382745657) (<class '__main__.FineGrainedBucket'> : 1.5542459419565355) 
17,17,depth-count,1.9528859460342096,0.15894433894255228,68,55.41346153846154,22.067307692307693,1700.0,0.0,(<class '__main__.FineGrainedBucket'> : 2.0842698749636313) (<class '__main__.FineGrainedBucket'> : 4.222164941512512) (<class '__main__.FineGrainedBucket'> : 2.644806093854174) (<class '__main__.FineGrainedBucket'> : 1.9177588247849464) (<class '__main__.FineGrainedBucket'> : 2.7586662463968636) (<class '__main__.FineGrainedBucket'> : 3.4693384111205408) (<class '__main__.FineGrainedBucket'> : 2.6625250616941103) (<class '__main__.FineGrainedBucket'> : 2.557961178973879) (<class '__main__.FineGrainedBucket'> : 2.2893992572652855) (<class '__main__.FineGrainedBucket'> : 2.609291915555562) (<class '__main__.FineGrainedBucket'> : 1.6049746788421093) (<class '__main__.FineGrainedBucket'> : 1.728580108144035) (<class '__main__.FineGrainedBucket'> : 3.4758468366453297) (<class '__main__.FineGrainedBucket'> : 2.8639896078564706) (<class '__main__.FineGrainedBucket'> : 2.4323621535464026) (<class '__main__.FineGrainedBucket'> : 1.8546733290841602) (<class '__main__.FineGrainedBucket'> : 1.4856723970457952) 
