max # buckets,actual # buckets,ground truth split strategy,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
1,1,width,62.243328329160505,0.009349666996620723,4,3.2596153846153846,1.2980769230769231,100.0,0.0,(<class '__main__.FineGrainedBucket'> : 62.243328329160505) 
2,2,width,31.293180765866083,0.018699333993241446,8,6.519230769230769,2.5961538461538463,200.0,0.0,(<class '__main__.FineGrainedBucket'> : 44.02123008562455) (<class '__main__.FineGrainedBucket'> : 4.545090995885518) 
3,3,width,15.715169631196627,0.028049000989862172,12,9.778846153846153,3.894230769230769,300.0,0.0,(<class '__main__.FineGrainedBucket'> : 24.488067401827216) (<class '__main__.FineGrainedBucket'> : 11.822113256793225) (<class '__main__.FineGrainedBucket'> : 1.2131878863573107) 
4,4,width,15.71400694731635,0.03739866798648289,16,13.038461538461538,5.1923076923076925,400.0,0.0,(<class '__main__.FineGrainedBucket'> : 28.26813334963003) (<class '__main__.FineGrainedBucket'> : 13.339182690548922) (<class '__main__.FineGrainedBucket'> : 3.153152257449113) (<class '__main__.FineGrainedBucket'> : 0.8698540728416073) 
5,5,width,7.926639138406932,0.04674833498310361,20,16.298076923076923,6.490384615384616,500.0,0.0,(<class '__main__.FineGrainedBucket'> : 15.733469369464814) (<class '__main__.FineGrainedBucket'> : 2.9063049589117) (<class '__main__.FineGrainedBucket'> : 7.508013616640902) (<class '__main__.FineGrainedBucket'> : 1.1948355813642577) (<class '__main__.FineGrainedBucket'> : 0.6094528606160259) 
6,6,width,7.9264661333469295,0.056098001979724345,24,19.557692307692307,7.788461538461538,600.0,0.0,(<class '__main__.FineGrainedBucket'> : 16.36970043187766) (<class '__main__.FineGrainedBucket'> : 6.094697536862177) (<class '__main__.FineGrainedBucket'> : 8.197459242082534) (<class '__main__.FineGrainedBucket'> : 1.8820843176388014) (<class '__main__.FineGrainedBucket'> : 0.8672689654180008) (<class '__main__.FineGrainedBucket'> : 0.6066161950074734) 
7,7,width,7.926373032861208,0.06544766897634506,28,22.817307692307693,9.086538461538462,700.0,0.0,(<class '__main__.FineGrainedBucket'> : 16.89399596859247) (<class '__main__.FineGrainedBucket'> : 8.390634789570736) (<class '__main__.FineGrainedBucket'> : 2.2475041007306635) (<class '__main__.FineGrainedBucket'> : 8.734080060790816) (<class '__main__.FineGrainedBucket'> : 1.3728357035389114) (<class '__main__.FineGrainedBucket'> : 0.6292880802723296) (<class '__main__.FineGrainedBucket'> : 0.6047839992290118) 
8,8,width,7.926394781386899,0.07479733597296578,32,26.076923076923077,10.384615384615385,800.0,0.0,(<class '__main__.FineGrainedBucket'> : 18.022852209434998) (<class '__main__.FineGrainedBucket'> : 9.036552272782396) (<class '__main__.FineGrainedBucket'> : 0.7671328125531459) (<class '__main__.FineGrainedBucket'> : 9.45156915757751) (<class '__main__.FineGrainedBucket'> : 1.9028590867977129) (<class '__main__.FineGrainedBucket'> : 1.3579283739614578) (<class '__main__.FineGrainedBucket'> : 0.6242632586472733) (<class '__main__.FineGrainedBucket'> : 0.6033441459285711) 
9,9,width,4.067442295374039,0.0841470029695865,36,29.336538461538463,11.682692307692308,900.0,0.0,(<class '__main__.FineGrainedBucket'> : 8.313296647013624) (<class '__main__.FineGrainedBucket'> : 7.128114840828585) (<class '__main__.FineGrainedBucket'> : 0.7090433637151861) (<class '__main__.FineGrainedBucket'> : 2.445809160446494) (<class '__main__.FineGrainedBucket'> : 4.603778756410833) (<class '__main__.FineGrainedBucket'> : 0.7668706327224384) (<class '__main__.FineGrainedBucket'> : 0.5796500070892374) (<class '__main__.FineGrainedBucket'> : 0.437867266713517) (<class '__main__.FineGrainedBucket'> : 0.4248582856371111) 
10,10,width,4.067250927490719,0.09349666996620722,40,32.59615384615385,12.980769230769232,1000.0,0.0,(<class '__main__.FineGrainedBucket'> : 8.754750322660675) (<class '__main__.FineGrainedBucket'> : 7.302725419085778) (<class '__main__.FineGrainedBucket'> : 1.9381141499007184) (<class '__main__.FineGrainedBucket'> : 1.0677051039788552) (<class '__main__.FineGrainedBucket'> : 5.283541836402727) (<class '__main__.FineGrainedBucket'> : 1.1587308160683207) (<class '__main__.FineGrainedBucket'> : 0.8504991439605201) (<class '__main__.FineGrainedBucket'> : 0.44908481717176146) (<class '__main__.FineGrainedBucket'> : 0.43591824248238326) (<class '__main__.FineGrainedBucket'> : 0.4242072826816418) 
