max # buckets,actual # buckets,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
1,1,1999.9997242814547,0.00422780268086052,1,0.9278846153846153,0.7235576923076923,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 1999.9997242814547) 
2,2,1041.4798710194875,0.00845560536172104,2,1.8557692307692306,1.4471153846153846,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 1290.9996440961677) (<class '__main__.CoarseGrainedSimpleBucket'> : 708.9998046045753) 
3,3,852.0829197666935,0.012683408042581562,3,2.7836538461538463,2.170673076923077,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 466.9998070176491) (<class '__main__.CoarseGrainedSimpleBucket'> : 1392.9994239487169) (<class '__main__.CoarseGrainedSimpleBucket'> : 139.99994229147526) 
4,4,695.0308632772405,0.01691121072344208,4,3.7115384615384612,2.894230769230769,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 79.9999561497737) (<class '__main__.CoarseGrainedSimpleBucket'> : 1210.9993323182512) (<class '__main__.CoarseGrainedSimpleBucket'> : 676.9996268593944) (<class '__main__.CoarseGrainedSimpleBucket'> : 31.99998262539166) 
5,5,535.6057926697077,0.0211390134043026,5,4.639423076923077,3.6177884615384617,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 42.999970697566944) (<class '__main__.CoarseGrainedSimpleBucket'> : 816.9994370485488) (<class '__main__.CoarseGrainedSimpleBucket'> : 813.9994391169557) (<class '__main__.CoarseGrainedSimpleBucket'> : 319.9997797146496) (<class '__main__.CoarseGrainedSimpleBucket'> : 5.999996207923137) 
6,6,448.4662451909802,0.025366816085163123,6,5.5673076923076925,4.341346153846154,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 37.99996897389232) (<class '__main__.CoarseGrainedSimpleBucket'> : 428.9996454750078) (<class '__main__.CoarseGrainedSimpleBucket'> : 823.9993186666718) (<class '__main__.CoarseGrainedSimpleBucket'> : 568.9995296442052) (<class '__main__.CoarseGrainedSimpleBucket'> : 135.9998878923305) (<class '__main__.CoarseGrainedSimpleBucket'> : 3.9999971042324796) 
7,7,404.1211543715091,0.02959461876602364,7,6.4951923076923075,5.064903846153846,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 30.999970559689494) (<class '__main__.CoarseGrainedSimpleBucket'> : 172.99983349332476) (<class '__main__.CoarseGrainedSimpleBucket'> : 813.9992147634133) (<class '__main__.CoarseGrainedSimpleBucket'> : 562.9994570429257) (<class '__main__.CoarseGrainedSimpleBucket'> : 359.999652990101) (<class '__main__.CoarseGrainedSimpleBucket'> : 55.99994642823554) (<class '__main__.CoarseGrainedSimpleBucket'> : 2.99999758685997) 
8,8,354.436462269129,0.03382242144688416,8,7.4230769230769225,5.788461538461538,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 28.99996856020668) (<class '__main__.CoarseGrainedSimpleBucket'> : 50.9999442908923) (<class '__main__.CoarseGrainedSimpleBucket'> : 644.9992890194042) (<class '__main__.CoarseGrainedSimpleBucket'> : 565.9993761683058) (<class '__main__.CoarseGrainedSimpleBucket'> : 470.99948096761784) (<class '__main__.CoarseGrainedSimpleBucket'> : 205.99977330254103) (<class '__main__.CoarseGrainedSimpleBucket'> : 29.999967457056023) (<class '__main__.CoarseGrainedSimpleBucket'> : 1.9999983452760735) 
9,9,312.83001169492684,0.03805022412774468,9,8.350961538461538,6.512019230769231,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 25.99996835339001) (<class '__main__.CoarseGrainedSimpleBucket'> : 25.99996835339001) (<class '__main__.CoarseGrainedSimpleBucket'> : 414.99948558745143) (<class '__main__.CoarseGrainedSimpleBucket'> : 624.9992249673454) (<class '__main__.CoarseGrainedSimpleBucket'> : 438.999455801731) (<class '__main__.CoarseGrainedSimpleBucket'> : 328.99959231669027) (<class '__main__.CoarseGrainedSimpleBucket'> : 123.9998467309325) (<class '__main__.CoarseGrainedSimpleBucket'> : 14.999982004846654) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999993794784205) 
10,10,281.9761869929051,0.0422780268086052,10,9.278846153846153,7.235576923076923,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 24.999966216007046) (<class '__main__.CoarseGrainedSimpleBucket'> : 17.99997586857659) (<class '__main__.CoarseGrainedSimpleBucket'> : 232.9996793967976) (<class '__main__.CoarseGrainedSimpleBucket'> : 583.9991953893816) (<class '__main__.CoarseGrainedSimpleBucket'> : 430.99940636697323) (<class '__main__.CoarseGrainedSimpleBucket'> : 382.99947255602154) (<class '__main__.CoarseGrainedSimpleBucket'> : 246.9996600916585) (<class '__main__.CoarseGrainedSimpleBucket'> : 72.99990002695873) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.999993794777147) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999993105319349) 
