max # buckets,actual # buckets,ground truth split strategy,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
1,1,depth-count,0.7308633918721307,0.009349666996620723,4,3.2596153846153846,1.2980769230769231,100.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.7308633918721307) 
2,2,depth-count,0.5398581556293771,0.018699333993241446,8,6.519230769230769,2.5961538461538463,200.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.4194750891910613) (<class '__main__.FineGrainedBucket'> : 0.5783256733183908) 
3,3,depth-count,0.4278933898622378,0.028049000989862172,12,9.778846153846153,3.894230769230769,300.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.3635192950729126) (<class '__main__.FineGrainedBucket'> : 0.4104496550140427) (<class '__main__.FineGrainedBucket'> : 0.4497422711193538) 
4,4,depth-count,0.3542629497304686,0.03739866798648289,16,13.038461538461538,5.1923076923076925,400.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.32721834139141037) (<class '__main__.FineGrainedBucket'> : 0.2778338152454055) (<class '__main__.FineGrainedBucket'> : 0.24777632362384094) (<class '__main__.FineGrainedBucket'> : 0.3792900722210907) 
5,5,depth-count,0.2578898878250396,0.04674833498310361,20,16.298076923076923,6.490384615384616,500.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.3008975360439703) (<class '__main__.FineGrainedBucket'> : 0.26204898065427673) (<class '__main__.FineGrainedBucket'> : 0.2770268558499533) (<class '__main__.FineGrainedBucket'> : 0.31605403039378915) (<class '__main__.FineGrainedBucket'> : 0.23130275148321006) 
6,6,depth-count,0.23707569569427356,0.056098001979724345,24,19.557692307692307,7.788461538461538,600.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.28237486341340046) (<class '__main__.FineGrainedBucket'> : 0.23995807317727486) (<class '__main__.FineGrainedBucket'> : 0.19634633673068758) (<class '__main__.FineGrainedBucket'> : 0.2640347164743038) (<class '__main__.FineGrainedBucket'> : 0.21672768638805906) (<class '__main__.FineGrainedBucket'> : 0.22561155545482306) 
7,7,depth-count,0.23605524579400233,0.06544766897634506,28,22.817307692307693,9.086538461538462,700.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.26746457022398035) (<class '__main__.FineGrainedBucket'> : 0.22644311404466902) (<class '__main__.FineGrainedBucket'> : 0.1879988343031056) (<class '__main__.FineGrainedBucket'> : 0.18798000021186473) (<class '__main__.FineGrainedBucket'> : 0.261688235049625) (<class '__main__.FineGrainedBucket'> : 0.2527776294220687) (<class '__main__.FineGrainedBucket'> : 0.22232591734819332) 
8,8,depth-count,0.2092161583454326,0.07479733597296578,32,26.076923076923077,10.384615384615385,800.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.1752377457923173) (<class '__main__.FineGrainedBucket'> : 0.21294274357504409) (<class '__main__.FineGrainedBucket'> : 0.17884778999621992) (<class '__main__.FineGrainedBucket'> : 0.19748558719769005) (<class '__main__.FineGrainedBucket'> : 0.18230920751481056) (<class '__main__.FineGrainedBucket'> : 0.22790365356095785) (<class '__main__.FineGrainedBucket'> : 0.219127135383498) (<class '__main__.FineGrainedBucket'> : 0.2176214413118827) 
9,9,depth-count,0.19959517896093631,0.0841470029695865,36,29.336538461538463,11.682692307692308,900.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.16907547605614845) (<class '__main__.FineGrainedBucket'> : 0.20393918607719771) (<class '__main__.FineGrainedBucket'> : 0.1696109278187424) (<class '__main__.FineGrainedBucket'> : 0.19665781895508838) (<class '__main__.FineGrainedBucket'> : 0.18818937223075066) (<class '__main__.FineGrainedBucket'> : 0.17819430329972855) (<class '__main__.FineGrainedBucket'> : 0.20845745210117034) (<class '__main__.FineGrainedBucket'> : 0.20067488130386307) (<class '__main__.FineGrainedBucket'> : 0.2120084620095438) 
10,10,depth-count,0.19019919616649253,0.09349666996620722,40,32.59615384615385,12.980769230769232,1000.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.16159006203941045) (<class '__main__.FineGrainedBucket'> : 0.2006717234320194) (<class '__main__.FineGrainedBucket'> : 0.17038740041026817) (<class '__main__.FineGrainedBucket'> : 0.18804470895623304) (<class '__main__.FineGrainedBucket'> : 0.19368375678413255) (<class '__main__.FineGrainedBucket'> : 0.17784143612694933) (<class '__main__.FineGrainedBucket'> : 0.17814824691785303) (<class '__main__.FineGrainedBucket'> : 0.18482184218776423) (<class '__main__.FineGrainedBucket'> : 0.17714661671970186) (<class '__main__.FineGrainedBucket'> : 0.21102696083328895) 
