max # buckets,actual # buckets,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),maxres,(bucket type : per bucket err)
1,1,1999.998781,0.00,1,0.93,0.72,0.00,0.00,0.93,(<class '__main__.CoarseGrainedSimpleBucket'> : 1999.9987810984278) 
2,2,1214.379086,0.01,2,1.86,1.45,0.00,0.00,1.86,(<class '__main__.CoarseGrainedSimpleBucket'> : 1688.9979413696049) (<class '__main__.CoarseGrainedSimpleBucket'> : 310.99962143587396) 
3,3,864.556496,0.01,3,2.78,2.17,0.00,0.00,2.78,(<class '__main__.CoarseGrainedSimpleBucket'> : 1434.9973765741408) (<class '__main__.CoarseGrainedSimpleBucket'> : 390.99928585285915) (<class '__main__.CoarseGrainedSimpleBucket'> : 173.99968270079316) 
4,4,608.744178,0.02,4,3.71,2.89,0.00,0.00,3.71,(<class '__main__.CoarseGrainedSimpleBucket'> : 815.998011476859) (<class '__main__.CoarseGrainedSimpleBucket'> : 872.9978724890851) (<class '__main__.CoarseGrainedSimpleBucket'> : 209.99948915085804) (<class '__main__.CoarseGrainedSimpleBucket'> : 100.99975493931544) 
5,5,570.374090,0.02,5,4.64,3.62,0.00,0.00,4.64,(<class '__main__.CoarseGrainedSimpleBucket'> : 445.99864211253276) (<class '__main__.CoarseGrainedSimpleBucket'> : 1171.9964292565116) (<class '__main__.CoarseGrainedSimpleBucket'> : 161.99950774426708) (<class '__main__.CoarseGrainedSimpleBucket'> : 152.99953517505844) (<class '__main__.CoarseGrainedSimpleBucket'> : 66.99979730646427) 
6,6,499.379187,0.03,6,5.57,4.34,0.00,0.00,5.57,(<class '__main__.CoarseGrainedSimpleBucket'> : 289.99894111773676) (<class '__main__.CoarseGrainedSimpleBucket'> : 1144.9958138680333) (<class '__main__.CoarseGrainedSimpleBucket'> : 253.9990728032243) (<class '__main__.CoarseGrainedSimpleBucket'> : 136.99950073244528) (<class '__main__.CoarseGrainedSimpleBucket'> : 123.99954828173654) (<class '__main__.CoarseGrainedSimpleBucket'> : 49.99981894759504) 
7,7,412.165906,0.03,7,6.50,5.06,0.00,0.00,6.50,(<class '__main__.CoarseGrainedSimpleBucket'> : 192.99917855626916) (<class '__main__.CoarseGrainedSimpleBucket'> : 913.9961018947718) (<class '__main__.CoarseGrainedSimpleBucket'> : 527.9977490550533) (<class '__main__.CoarseGrainedSimpleBucket'> : 115.9995071337633) (<class '__main__.CoarseGrainedSimpleBucket'> : 120.9994857975624) (<class '__main__.CoarseGrainedSimpleBucket'> : 90.9996138147679) (<class '__main__.CoarseGrainedSimpleBucket'> : 36.999844246402425) 
8,8,371.346297,0.03,8,7.42,5.79,0.00,0.00,7.42,(<class '__main__.CoarseGrainedSimpleBucket'> : 140.9993148029447) (<class '__main__.CoarseGrainedSimpleBucket'> : 674.9967105881022) (<class '__main__.CoarseGrainedSimpleBucket'> : 766.996261921899) (<class '__main__.CoarseGrainedSimpleBucket'> : 105.99948549260408) (<class '__main__.CoarseGrainedSimpleBucket'> : 105.99948549260408) (<class '__main__.CoarseGrainedSimpleBucket'> : 103.9994952462989) (<class '__main__.CoarseGrainedSimpleBucket'> : 72.99964642856862) (<class '__main__.CoarseGrainedSimpleBucket'> : 27.99986588735609) 
9,9,338.325367,0.04,9,8.35,6.51,0.00,0.00,8.35,(<class '__main__.CoarseGrainedSimpleBucket'> : 102.9994376397403) (<class '__main__.CoarseGrainedSimpleBucket'> : 494.9972869767884) (<class '__main__.CoarseGrainedSimpleBucket'> : 836.9954106178027) (<class '__main__.CoarseGrainedSimpleBucket'> : 213.99882867035691) (<class '__main__.CoarseGrainedSimpleBucket'> : 90.99950347703987) (<class '__main__.CoarseGrainedSimpleBucket'> : 85.99953090667437) (<class '__main__.CoarseGrainedSimpleBucket'> : 94.99948152842877) (<class '__main__.CoarseGrainedSimpleBucket'> : 52.999711960241505) (<class '__main__.CoarseGrainedSimpleBucket'> : 25.999860095745788) 
10,10,303.431926,0.04,10,9.28,7.24,0.00,0.00,9.28,(<class '__main__.CoarseGrainedSimpleBucket'> : 78.99952145964878) (<class '__main__.CoarseGrainedSimpleBucket'> : 366.9977658122618) (<class '__main__.CoarseGrainedSimpleBucket'> : 766.9953273972761) (<class '__main__.CoarseGrainedSimpleBucket'> : 404.9975341906965) (<class '__main__.CoarseGrainedSimpleBucket'> : 70.99957022809313) (<class '__main__.CoarseGrainedSimpleBucket'> : 90.9994483069822) (<class '__main__.CoarseGrainedSimpleBucket'> : 70.99957022809313) (<class '__main__.CoarseGrainedSimpleBucket'> : 81.99950317148213) (<class '__main__.CoarseGrainedSimpleBucket'> : 41.999747012161734) (<class '__main__.CoarseGrainedSimpleBucket'> : 24.999850646648195) 
11,11,275.715646,0.05,11,10.21,7.96,0.00,0.00,10.21,(<class '__main__.CoarseGrainedSimpleBucket'> : 60.99959430689619) (<class '__main__.CoarseGrainedSimpleBucket'> : 296.9980117684644) (<class '__main__.CoarseGrainedSimpleBucket'> : 647.9956581192237) (<class '__main__.CoarseGrainedSimpleBucket'> : 537.9963957390682) (<class '__main__.CoarseGrainedSimpleBucket'> : 111.99925231765883) (<class '__main__.CoarseGrainedSimpleBucket'> : 70.999527250183) (<class '__main__.CoarseGrainedSimpleBucket'> : 72.99951383884034) (<class '__main__.CoarseGrainedSimpleBucket'> : 81.99945348779846) (<class '__main__.CoarseGrainedSimpleBucket'> : 58.99960771823883) (<class '__main__.CoarseGrainedSimpleBucket'> : 35.999761948679165) (<class '__main__.CoarseGrainedSimpleBucket'> : 22.999849123417988) 
