max # buckets,actual # buckets,ground truth split strategy,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
1,1,depth-count,1.8171242289791676,0.009349123692272825,4,3.2596153846153846,1.2980769230769231,15.0,0.0,(<class '__main__.FineGrainedBucket'> : 1.8171242289791676) 
2,2,depth-count,1.4867904071251392,0.01869824738454565,8,6.519230769230769,2.5961538461538463,30.0,0.0,(<class '__main__.FineGrainedBucket'> : 0.7915763205540524) (<class '__main__.FineGrainedBucket'> : 1.609343135036316) 
3,3,depth-count,1.3183094691576562,0.0660928716526444,9,36.31730769230769,5.858173076923077,30.0,33.33333333333333,(<class '__main__.FineGrainedBucket'> : 0.6366744429981847) (<class '__main__.FineGrainedBucket'> : 0.34840798290184366) (<class '__main__.CoarseGrainedBloomBucket'> : 1.4722614352105183) 
4,4,depth-count,0.7779175914660713,0.7359629037927398,13,331.7932692307692,83.38701923076923,45.0,26.666666666666668,(<class '__main__.FineGrainedBucket'> : 0.5489157690192419) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.6511151540625866) (<class '__main__.CoarseGrainedCountingBloomBucket'> : 0.9730668718314469) 
5,5,depth-count,0.5884763774403197,0.7453120274850127,17,335.05288461538464,84.68509615384615,60.0,26.666666666666668,(<class '__main__.FineGrainedBucket'> : 0.48677750340794185) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.5783254628052072) (<class '__main__.CoarseGrainedCountingBloomBucket'> : 0.6764200589640802) 
6,6,depth-count,0.5144024179389779,0.7546611511772856,21,338.3125,85.98317307692308,75.0,26.666666666666668,(<class '__main__.FineGrainedBucket'> : 0.45424415562981624) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.2943466195847236) (<class '__main__.FineGrainedBucket'> : 0.5925648354999185) (<class '__main__.CoarseGrainedCountingBloomBucket'> : 0.5016541837540804) 
7,7,depth-count,0.46641189514996806,0.7640102748695584,25,341.5721153846154,87.28125,90.0,26.666666666666668,(<class '__main__.FineGrainedBucket'> : 0.25771754789073603) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.27105955515854463) (<class '__main__.FineGrainedBucket'> : 0.6193469663171921) (<class '__main__.CoarseGrainedCountingBloomBucket'> : 0.4035383990224168) 
8,8,depth-count,0.3635436648751303,1.4719258075854795,26,663.5865384615385,166.77403846153845,90.0,53.333333333333336,(<class '__main__.FineGrainedBucket'> : 0.2426471613149518) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.4493347869275648) (<class '__main__.CoarseGrainedCountingBloomBucket'> : 0.5083571247579155) (<class '__main__.CoarseGrainedCountingBloomBucket'> : 0.328635660913479) 
9,9,depth-count,0.32101485756386594,0.782708522254104,33,348.09134615384613,89.87740384615385,120.0,26.666666666666668,(<class '__main__.FineGrainedBucket'> : 0.2307570630634722) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.4300800582506438) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.CoarseGrainedCountingBloomBucket'> : 0.2744304992858488) 
10,10,depth-count,0.29848318203932944,0.7920576459463768,37,351.35096153846155,91.17548076923076,135.0,26.666666666666668,(<class '__main__.FineGrainedBucket'> : 0.22287034506499187) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.40646380895270146) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.CoarseGrainedCountingBloomBucket'> : 0.24074743360671322) 
