max # buckets,actual # buckets,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),maxres,(bucket type : per bucket err)
1,1,4099.982228,0.004227803,1,0.927884615,0.723557692,0.00,0.00,0.927885,(<class '__main__.CoarseGrainedSimpleBucket'> : 4099.982227994372) 
2,2,2259.401385,0.008455605,2,1.855769231,1.447115385,0.00,0.00,1.855769,(<class '__main__.CoarseGrainedSimpleBucket'> : 2999.973987557821) (<class '__main__.CoarseGrainedSimpleBucket'> : 1099.990495249021) 
3,3,1843.604758,0.012683408,3,2.783653846,2.170673077,0.00,0.00,2.783654,(<class '__main__.CoarseGrainedSimpleBucket'> : 2999.9609815905387) (<class '__main__.CoarseGrainedSimpleBucket'> : 1093.9858209625334) (<class '__main__.CoarseGrainedSimpleBucket'> : 5.999928452065863) 
4,4,1565.030661,0.016911211,4,3.711538462,2.894230769,0.00,0.00,3.711538,(<class '__main__.CoarseGrainedSimpleBucket'> : 2929.949189477969) (<class '__main__.CoarseGrainedSimpleBucket'> : 69.9987967526139) (<class '__main__.CoarseGrainedSimpleBucket'> : 1098.9810074872157) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999913275372373) 
5,5,1126.099402,0.021139013,5,4.639423077,3.617788462,0.00,0.00,4.639423,(<class '__main__.CoarseGrainedSimpleBucket'> : 2185.952617341369) (<class '__main__.CoarseGrainedSimpleBucket'> : 813.9823644518198) (<class '__main__.CoarseGrainedSimpleBucket'> : 164.99645088784504) (<class '__main__.CoarseGrainedSimpleBucket'> : 933.979847495443) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999891593627871) 
6,6,996.0677993,0.025366816,6,5.567307692,4.341346154,0.00,0.00,5.567308,(<class '__main__.CoarseGrainedSimpleBucket'> : 1141.9703026025788) (<class '__main__.CoarseGrainedSimpleBucket'> : 1857.9516752789816) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 1093.9716421101984) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.9998829178434345) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999869912776511) 
7,7,1006.856037,0.029594619,7,6.495192308,5.064903846,0.00,0.00,6.495192,(<class '__main__.CoarseGrainedSimpleBucket'> : 652.9801953573415) (<class '__main__.CoarseGrainedSimpleBucket'> : 2339.9289899889964) (<class '__main__.CoarseGrainedSimpleBucket'> : 6.999802698691593) (<class '__main__.CoarseGrainedSimpleBucket'> : 5.99983811184445) (<class '__main__.CoarseGrainedSimpleBucket'> : 1092.9669460052066) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999848230749959) 
8,8,940.5214054,0.033822421,8,7.423076923,5.788461538,0.00,0.00,7.423077,(<class '__main__.CoarseGrainedSimpleBucket'> : 422.9853446597488) (<class '__main__.CoarseGrainedSimpleBucket'> : 2506.9130524106254) (<class '__main__.CoarseGrainedSimpleBucket'> : 69.99759348454418) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 502.9826159871647) (<class '__main__.CoarseGrainedSimpleBucket'> : 595.9795276030504) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999826549992615) 
9,9,868.4004538,0.038050224,9,8.350961538,6.512019231,0.00,0.00,8.350962,(<class '__main__.CoarseGrainedSimpleBucket'> : 253.99010766023954) (<class '__main__.CoarseGrainedSimpleBucket'> : 2309.909871932956) (<class '__main__.CoarseGrainedSimpleBucket'> : 435.98300782207644) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 1093.9574628896346) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.999824380306344) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999804868530153) 
10,10,753.145707,0.042278027,10,9.278846154,7.235576923,0.00,0.00,9.278846,(<class '__main__.CoarseGrainedSimpleBucket'> : 163.99291052656693) (<class '__main__.CoarseGrainedSimpleBucket'> : 2021.9123474365376) (<class '__main__.CoarseGrainedSimpleBucket'> : 810.9648593899617) (<class '__main__.CoarseGrainedSimpleBucket'> : 2.9998915946071576) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 164.99290154544022) (<class '__main__.CoarseGrainedSimpleBucket'> : 933.9596936821391) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9999783190781246) 
