max # buckets,actual # buckets,ground truth split strategy,algorithm,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
26,26,depth-distinct,greedy_avg_res_histogram,29.465867848966752,0.2553709405960997,101,95.39423076923077,33.86778846153846,52.0,33.33333333333333,(<class '__main__.FineGrainedBucket'> : 41.30145967497024) (<class '__main__.FineGrainedBucket'> : 0.5009828149840397) (<class '__main__.FineGrainedBucket'> : 0.43459359707937867) (<class '__main__.FineGrainedBucket'> : 0.535878580983313) (<class '__main__.FineGrainedBucket'> : 0.5015925349409753) (<class '__main__.FineGrainedBucket'> : 0.11975433664538773) (<class '__main__.FineGrainedBucket'> : 0.09708138831941811) (<class '__main__.FineGrainedBucket'> : 0.41894427141146623) (<class '__main__.FineGrainedBucket'> : 0.4305667686637652) (<class '__main__.FineGrainedBucket'> : 0.11940456259092747) (<class '__main__.FineGrainedBucket'> : 0.4057378922570805) (<class '__main__.FineGrainedBucket'> : 0.0949034266373636) (<class '__main__.FineGrainedBucket'> : 0.4085502411650993) (<class '__main__.FineGrainedBucket'> : 0.3934368665442881) (<class '__main__.FineGrainedBucket'> : 0.12472538408409689) (<class '__main__.FineGrainedBucket'> : 0.4544445901935771) (<class '__main__.FineGrainedBucket'> : 0.38074266935975826) (<class '__main__.FineGrainedBucket'> : 0.5358646939149581) (<class '__main__.FineGrainedBucket'> : 0.4972499176036911) (<class '__main__.FineGrainedBucket'> : 0.10714788182746046) (<class '__main__.FineGrainedBucket'> : 0.5671914189717484) (<class '__main__.FineGrainedBucket'> : 0.09967452464610553) (<class '__main__.CoarseGrainedBloomBucket'> : 0.07842306739503593) (<class '__main__.FineGrainedBucket'> : 0.1319524751192672) (<class '__main__.FineGrainedBucket'> : 0.463097227423392) (<class '__main__.FineGrainedBucket'> : 0.6499575149666853)
26,26,depth-distinct,simulated_annealing_histogram_last,14.727195991646964,0.25537124101144504,101,95.39423076923077,33.86778846153846,99.0,33.33333333333333,(<class '__main__.FineGrainedBucket'> : 20.643140844053978) (<class '__main__.FineGrainedBucket'> : 0.11684726655400764) (<class '__main__.FineGrainedBucket'> : 0.09757534943864367) (<class '__main__.FineGrainedBucket'> : 0.12095048583072415) (<class '__main__.FineGrainedBucket'> : 0.11160719504048208) (<class '__main__.FineGrainedBucket'> : 0.5356150254762889) (<class '__main__.FineGrainedBucket'> : 0.09708138831941811) (<class '__main__.FineGrainedBucket'> : 0.09387789194507698) (<class '__main__.FineGrainedBucket'> : 0.10640025413541873) (<class '__main__.FineGrainedBucket'> : 0.11940456259092747) (<class '__main__.FineGrainedBucket'> : 0.09582420057209448) (<class '__main__.FineGrainedBucket'> : 0.37244600319511717) (<class '__main__.FineGrainedBucket'> : 0.10056630546834644) (<class '__main__.FineGrainedBucket'> : 0.09301816706609625) (<class '__main__.FineGrainedBucket'> : 0.12472538408409689) (<class '__main__.FineGrainedBucket'> : 0.09786744038159294) (<class '__main__.FineGrainedBucket'> : 0.09411795721902223) (<class '__main__.FineGrainedBucket'> : 0.5358646939149581) (<class '__main__.FineGrainedBucket'> : 0.12004123863938528) (<class '__main__.CoarseGrainedBloomBucket'> : 0.07781702833016181) (<class '__main__.FineGrainedBucket'> : 0.11626009035104501) (<class '__main__.FineGrainedBucket'> : 0.42013562167531504) (<class '__main__.FineGrainedBucket'> : 0.11978384179855188) (<class '__main__.FineGrainedBucket'> : 0.1319524751192672) (<class '__main__.FineGrainedBucket'> : 0.1043624550590806) (<class '__main__.FineGrainedBucket'> : 0.1439740389723785)
26,26,width,greedy_avg_res_histogram,7.361062009909597,0.21133330440823597,65,80.38942307692307,27.665865384615383,45.0,66.66666666666666,(<class '__main__.FineGrainedBucket'> : 37.49037734711139) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.02413810643422875) (<class '__main__.FineGrainedBucket'> : 0.9874790687246354) (<class '__main__.FineGrainedBucket'> : 0.1987282343145605) (<class '__main__.CoarseGrainedBloomBucket'> : 0.3864999456133974) (<class '__main__.FineGrainedBucket'> : 0.18808261005959814) (<class '__main__.FineGrainedBucket'> : 0.9075488309491245) (<class '__main__.FineGrainedBucket'> : 0.9729930300251259) (<class '__main__.FineGrainedBucket'> : 0.14363437005836105) (<class '__main__.FineGrainedBucket'> : 0.2919035327967747) (<class '__main__.FineGrainedBucket'> : 0.2919114534429237) (<class '__main__.FineGrainedBucket'> : 0.07284408164720473) (<class '__main__.FineGrainedBucket'> : 0.33707031244961383) (<class '__main__.CoarseGrainedBloomBucket'> : 0.05341466480432856) (<class '__main__.FineGrainedBucket'> : 0.0453370550117655)
21,21,depth-distinct,greedy_avg_res_histogram,29.464242177090217,0.2209218399552716,78,89.74038461538461,27.495192307692307,76.0,66.66666666666666,(<class '__main__.FineGrainedBucket'> : 41.25772825902251) (<class '__main__.FineGrainedBucket'> : 0.1310389020178917) (<class '__main__.FineGrainedBucket'> : 0.1369539827632257) (<class '__main__.FineGrainedBucket'> : 0.11691243087074049) (<class '__main__.FineGrainedBucket'> : 0.12048122610226529) (<class '__main__.FineGrainedBucket'> : 0.13389978474093217) (<class '__main__.FineGrainedBucket'> : 0.10220998520733936) (<class '__main__.CoarseGrainedBloomBucket'> : 0.09921921248337415) (<class '__main__.FineGrainedBucket'> : 0.11873375105468002) (<class '__main__.FineGrainedBucket'> : 0.13313097107977953) (<class '__main__.FineGrainedBucket'> : 0.1030218323448213) (<class '__main__.FineGrainedBucket'> : 0.1272097675622276) (<class '__main__.FineGrainedBucket'> : 0.146598518703933) (<class '__main__.FineGrainedBucket'> : 0.13076265455784183) (<class '__main__.FineGrainedBucket'> : 0.11251969943915915) (<class '__main__.FineGrainedBucket'> : 0.10592537577074992) (<class '__main__.CoarseGrainedBloomBucket'> : 0.10418849845002463) (<class '__main__.FineGrainedBucket'> : 0.13527814406004982) (<class '__main__.FineGrainedBucket'> : 0.1105585770615075) (<class '__main__.FineGrainedBucket'> : 0.14667826611936532) (<class '__main__.FineGrainedBucket'> : 0.14807695058140313)
21,21,depth-distinct,simulated_annealing_histogram_last,14.729772704747123,0.234375806966752,81,94.99038461538461,29.223557692307693,98.0,33.33333333333333,(<class '__main__.FineGrainedBucket'> : 20.621274095558675) (<class '__main__.FineGrainedBucket'> : 0.1310389020178917) (<class '__main__.FineGrainedBucket'> : 0.1369539827632257) (<class '__main__.FineGrainedBucket'> : 0.11691243087074049) (<class '__main__.FineGrainedBucket'> : 0.12048122610226529) (<class '__main__.CoarseGrainedBloomBucket'> : 0.01668351693769088) (<class '__main__.FineGrainedBucket'> : 0.10220998520733936) (<class '__main__.FineGrainedBucket'> : 0.13915452571001413) (<class '__main__.FineGrainedBucket'> : 0.05937827798121014) (<class '__main__.FineGrainedBucket'> : 0.13313097107977953) (<class '__main__.FineGrainedBucket'> : 0.4391735903383859) (<class '__main__.FineGrainedBucket'> : 0.06304618961674274) (<class '__main__.FineGrainedBucket'> : 0.7114516498160497) (<class '__main__.FineGrainedBucket'> : 0.613379115396026) (<class '__main__.FineGrainedBucket'> : 0.11251969943915915) (<class '__main__.FineGrainedBucket'> : 0.10592537577074992) (<class '__main__.FineGrainedBucket'> : 0.11856786812527553) (<class '__main__.FineGrainedBucket'> : 0.5691077455519333) (<class '__main__.FineGrainedBucket'> : 0.1105585770615075) (<class '__main__.FineGrainedBucket'> : 0.14667826611936532) (<class '__main__.FineGrainedBucket'> : 0.6855548865814756)
21,21,width,greedy_avg_res_histogram,9.713800716396472,0.21949698531283435,48,94.20192307692308,26.05769230769231,47.0,93.33333333333333,(<class '__main__.CoarseGrainedCountingBloomBucket'> : 44.50951228617442) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.10098619937862001) (<class '__main__.FineGrainedBucket'> : 0.28477761853565486) (<class '__main__.FineGrainedBucket'> : 0.2797127222718753) (<class '__main__.FineGrainedBucket'> : 0.27972607467049243) (<class '__main__.FineGrainedBucket'> : 0.2639072038554817) (<class '__main__.FineGrainedBucket'> : 0.24711540273245275) (<class '__main__.CoarseGrainedBloomBucket'> : 0.027602983199362316) (<class '__main__.FineGrainedBucket'> : 0.10701065261000973) (<class '__main__.FineGrainedBucket'> : 0.1235652581810933) (<class '__main__.FineGrainedBucket'> : 0.10701065261000973) (<class '__main__.CoarseGrainedBloomBucket'> : 0.003055698747633544)
22,22,depth-distinct,greedy_avg_res_histogram,29.464230602584507,0.23027089333757,82,93.0,28.79326923076923,80.0,66.66666666666666,(<class '__main__.FineGrainedBucket'> : 41.27424918613117) (<class '__main__.FineGrainedBucket'> : 0.13302824983955627) (<class '__main__.FineGrainedBucket'> : 0.13781763024211383) (<class '__main__.FineGrainedBucket'> : 0.11074667019068073) (<class '__main__.FineGrainedBucket'> : 0.12103547075353914) (<class '__main__.FineGrainedBucket'> : 0.09884158888229207) (<class '__main__.FineGrainedBucket'> : 0.10075567109773621) (<class '__main__.CoarseGrainedBloomBucket'> : 0.09981238118810241) (<class '__main__.FineGrainedBucket'> : 0.12036935141811657) (<class '__main__.FineGrainedBucket'> : 0.13279319976274) (<class '__main__.FineGrainedBucket'> : 0.10180076725464783) (<class '__main__.FineGrainedBucket'> : 0.12601878242150968) (<class '__main__.FineGrainedBucket'> : 0.13164992896246397) (<class '__main__.FineGrainedBucket'> : 0.10546059978455675) (<class '__main__.FineGrainedBucket'> : 0.12060626449005786) (<class '__main__.FineGrainedBucket'> : 0.1267836094033146) (<class '__main__.FineGrainedBucket'> : 0.09628013575426232) (<class '__main__.CoarseGrainedBloomBucket'> : 0.09996887267118115) (<class '__main__.FineGrainedBucket'> : 0.13383667305328922) (<class '__main__.FineGrainedBucket'> : 0.10721682999692901) (<class '__main__.FineGrainedBucket'> : 0.1447314398950717) (<class '__main__.FineGrainedBucket'> : 0.14807695058140313)
22,22,depth-distinct,simulated_annealing_histogram_last,5.578398800928931,0.23027100839025547,82,93.0,28.79326923076923,98.0,66.66666666666666,(<class '__main__.CoarseGrainedBloomBucket'> : 7.80655810020372) (<class '__main__.FineGrainedBucket'> : 0.13302824983955627) (<class '__main__.FineGrainedBucket'> : 0.06801963186684509) (<class '__main__.FineGrainedBucket'> : 0.11074667019068073) (<class '__main__.FineGrainedBucket'> : 0.12103547075353914) (<class '__main__.FineGrainedBucket'> : 0.39609246515011826) (<class '__main__.FineGrainedBucket'> : 0.4642194332963625) (<class '__main__.FineGrainedBucket'> : 0.06698372911647164) (<class '__main__.FineGrainedBucket'> : 0.12036935141811657) (<class '__main__.FineGrainedBucket'> : 0.13279319976274) (<class '__main__.CoarseGrainedBloomBucket'> : 0.08906973039530765) (<class '__main__.FineGrainedBucket'> : 0.12601878242150968) (<class '__main__.FineGrainedBucket'> : 0.13164992896246397) (<class '__main__.FineGrainedBucket'> : 0.10546059978455675) (<class '__main__.FineGrainedBucket'> : 0.12060626449005786) (<class '__main__.FineGrainedBucket'> : 0.5518101317348064) (<class '__main__.FineGrainedBucket'> : 0.09628013575426232) (<class '__main__.FineGrainedBucket'> : 0.5718335142503616) (<class '__main__.FineGrainedBucket'> : 0.13383667305328922) (<class '__main__.FineGrainedBucket'> : 0.10721682999692901) (<class '__main__.FineGrainedBucket'> : 0.6964838524080869) (<class '__main__.FineGrainedBucket'> : 0.07426650311159642)
22,22,width,greedy_avg_res_histogram,7.352917485872887,0.20992962968682455,55,87.90865384615385,25.46875,88.0,66.66666666666666,(<class '__main__.FineGrainedBucket'> : 34.48613135954001) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedBloomBucket'> : 0.0019780739088168975) (<class '__main__.FineGrainedBucket'> : 0.0998976284978121) (<class '__main__.FineGrainedBucket'> : 0.0948341527590343) (<class '__main__.FineGrainedBucket'> : 0.09288526221729938) (<class '__main__.FineGrainedBucket'> : 0.20221875788052973) (<class '__main__.FineGrainedBucket'> : 0.18551233039122134) (<class '__main__.FineGrainedBucket'> : 0.1447377103084249) (<class '__main__.CoarseGrainedBloomBucket'> : 0.04676795913129914) (<class '__main__.FineGrainedBucket'> : 0.03140094982580979) (<class '__main__.FineGrainedBucket'> : 0.08357215956228937) (<class '__main__.FineGrainedBucket'> : 0.08053214801767136) (<class '__main__.FineGrainedBucket'> : 0.05316930891223707)
23,23,depth-distinct,greedy_avg_res_histogram,29.464208923387265,0.2396199467198684,86,96.25961538461539,30.091346153846153,84.0,66.66666666666666,(<class '__main__.FineGrainedBucket'> : 41.28742836106146) (<class '__main__.FineGrainedBucket'> : 0.10739293680930072) (<class '__main__.FineGrainedBucket'> : 0.12047695679652269) (<class '__main__.FineGrainedBucket'> : 0.1032888972302411) (<class '__main__.FineGrainedBucket'> : 0.09575457208156174) (<class '__main__.FineGrainedBucket'> : 0.13256098371166455) (<class '__main__.CoarseGrainedBloomBucket'> : 0.08875315678855365) (<class '__main__.FineGrainedBucket'> : 0.10158400182867515) (<class '__main__.FineGrainedBucket'> : 0.12349884299132155) (<class '__main__.FineGrainedBucket'> : 0.12795097282754217) (<class '__main__.FineGrainedBucket'> : 0.13125550343253628) (<class '__main__.FineGrainedBucket'> : 0.0998892171799976) (<class '__main__.FineGrainedBucket'> : 0.13429350476074733) (<class '__main__.FineGrainedBucket'> : 0.0993930084137192) (<class '__main__.FineGrainedBucket'> : 0.13699087975939456) (<class '__main__.FineGrainedBucket'> : 0.12215436793694685) (<class '__main__.FineGrainedBucket'> : 0.11455155391840974) (<class '__main__.FineGrainedBucket'> : 0.10323368445272035) (<class '__main__.FineGrainedBucket'> : 0.12198750911856665) (<class '__main__.FineGrainedBucket'> : 0.1319626749016446) (<class '__main__.CoarseGrainedBloomBucket'> : 0.08219360734878076) (<class '__main__.FineGrainedBucket'> : 0.10416977825287324) (<class '__main__.FineGrainedBucket'> : 0.14781632618576215)
