max # buckets,actual # buckets,ground truth split strategy,algorithm_[first solution construction],overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
3,3,depth-count,greedy_min_error_histogram,15.76978188,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 8.799461482463677) (<class '__main__.FineGrainedBucket'> : 14.299143485167336) (<class '__main__.FineGrainedBucket'> : 17.488637716323773) 
3,3,depth-count,greedy_avg_res_histogram,15.76978188,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 8.799461482463677) (<class '__main__.FineGrainedBucket'> : 14.299143485167336) (<class '__main__.FineGrainedBucket'> : 17.488637716323773) 
3,3,depth-count,simulated_annealing_histogram_first,15.76978188,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 8.799461482463677) (<class '__main__.FineGrainedBucket'> : 14.299143485167336) (<class '__main__.FineGrainedBucket'> : 17.488637716323773) 
3,3,depth-count,simulated_annealing_histogram_middle,15.76978188,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 8.799461482463677) (<class '__main__.FineGrainedBucket'> : 14.299143485167336) (<class '__main__.FineGrainedBucket'> : 17.488637716323773) 
3,3,depth-count,simulated_annealing_histogram_last,15.76978188,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 8.799461482463677) (<class '__main__.FineGrainedBucket'> : 14.299143485167336) (<class '__main__.FineGrainedBucket'> : 17.488637716323773) 
3,3,depth-count,simulated_annealing_histogram_random,15.76978188,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 8.799461482463677) (<class '__main__.FineGrainedBucket'> : 14.299143485167336) (<class '__main__.FineGrainedBucket'> : 17.488637716323773) 
3,3,depth-distinct,greedy_min_error_histogram,16.12804326,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 17.34453884897083) (<class '__main__.FineGrainedBucket'> : 12.035212134690541) (<class '__main__.FineGrainedBucket'> : 17.627929430218835) 
3,3,depth-distinct,greedy_avg_res_histogram,16.12804326,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 17.34453884897083) (<class '__main__.FineGrainedBucket'> : 12.035212134690541) (<class '__main__.FineGrainedBucket'> : 17.627929430218835) 
3,3,depth-distinct,simulated_annealing_histogram_first,16.12804326,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 17.34453884897083) (<class '__main__.FineGrainedBucket'> : 12.035212134690541) (<class '__main__.FineGrainedBucket'> : 17.627929430218835) 
3,3,depth-distinct,simulated_annealing_histogram_middle,16.12804326,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 17.34453884897083) (<class '__main__.FineGrainedBucket'> : 12.035212134690541) (<class '__main__.FineGrainedBucket'> : 17.627929430218835) 
3,3,depth-distinct,simulated_annealing_histogram_last,16.12804326,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 17.34453884897083) (<class '__main__.FineGrainedBucket'> : 12.035212134690541) (<class '__main__.FineGrainedBucket'> : 17.627929430218835) 
3,3,depth-distinct,simulated_annealing_histogram_random,16.12804326,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 17.34453884897083) (<class '__main__.FineGrainedBucket'> : 12.035212134690541) (<class '__main__.FineGrainedBucket'> : 17.627929430218835) 
3,3,width,greedy_min_error_histogram,15.71516963,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 24.488067401827216) (<class '__main__.FineGrainedBucket'> : 11.822113256793225) (<class '__main__.FineGrainedBucket'> : 1.2131878863573107) 
3,3,width,greedy_avg_res_histogram,15.71516963,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 24.488067401827216) (<class '__main__.FineGrainedBucket'> : 11.822113256793225) (<class '__main__.FineGrainedBucket'> : 1.2131878863573107) 
3,3,width,simulated_annealing_histogram_first,15.71516963,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 24.488067401827216) (<class '__main__.FineGrainedBucket'> : 11.822113256793225) (<class '__main__.FineGrainedBucket'> : 1.2131878863573107) 
3,3,width,simulated_annealing_histogram_middle,15.71516963,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 24.488067401827216) (<class '__main__.FineGrainedBucket'> : 11.822113256793225) (<class '__main__.FineGrainedBucket'> : 1.2131878863573107) 
3,3,width,simulated_annealing_histogram_last,15.71516963,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 24.488067401827216) (<class '__main__.FineGrainedBucket'> : 11.822113256793225) (<class '__main__.FineGrainedBucket'> : 1.2131878863573107) 
3,3,width,simulated_annealing_histogram_random,15.71516963,0.028047371,12,9.778846154,3.894230769,45,0,(<class '__main__.FineGrainedBucket'> : 24.488067401827216) (<class '__main__.FineGrainedBucket'> : 11.822113256793225) (<class '__main__.FineGrainedBucket'> : 1.2131878863573107) 
4,4,depth-count,greedy_min_error_histogram,12.90655474,0.037396495,16,13.03846154,5.192307692,60,0,(<class '__main__.FineGrainedBucket'> : 10.45728966139798) (<class '__main__.FineGrainedBucket'> : 6.129493887647711) (<class '__main__.FineGrainedBucket'> : 11.755727869254518) (<class '__main__.FineGrainedBucket'> : 14.652783933460674) 
4,4,depth-count,greedy_avg_res_histogram,12.90655474,0.037396495,16,13.03846154,5.192307692,60,0,(<class '__main__.FineGrainedBucket'> : 10.45728966139798) (<class '__main__.FineGrainedBucket'> : 6.129493887647711) (<class '__main__.FineGrainedBucket'> : 11.755727869254518) (<class '__main__.FineGrainedBucket'> : 14.652783933460674) 
4,4,depth-count,simulated_annealing_histogram_first,12.90655474,0.037396495,16,13.03846154,5.192307692,60,0,(<class '__main__.FineGrainedBucket'> : 10.45728966139798) (<class '__main__.FineGrainedBucket'> : 6.129493887647711) (<class '__main__.FineGrainedBucket'> : 11.755727869254518) (<class '__main__.FineGrainedBucket'> : 14.652783933460674) 
4,4,depth-count,simulated_annealing_histogram_middle,12.90655474,0.037396495,16,13.03846154,5.192307692,60,0,(<class '__main__.FineGrainedBucket'> : 10.45728966139798) (<class '__main__.FineGrainedBucket'> : 6.129493887647711) (<class '__main__.FineGrainedBucket'> : 11.755727869254518) (<class '__main__.FineGrainedBucket'> : 14.652783933460674) 
4,4,depth-count,simulated_annealing_histogram_last,12.90655474,0.037396495,16,13.03846154,5.192307692,60,0,(<class '__main__.FineGrainedBucket'> : 10.45728966139798) (<class '__main__.FineGrainedBucket'> : 6.129493887647711) (<class '__main__.FineGrainedBucket'> : 11.755727869254518) (<class '__main__.FineGrainedBucket'> : 14.652783933460674) 
4,4,depth-count,simulated_annealing_histogram_random,12.90655474,0.037396495,16,13.03846154,5.192307692,60,0,(<class '__main__.FineGrainedBucket'> : 10.45728966139798) (<class '__main__.FineGrainedBucket'> : 6.129493887647711) (<class '__main__.FineGrainedBucket'> : 11.755727869254518) (<class '__main__.FineGrainedBucket'> : 14.652783933460674) 
4,4,depth-distinct,greedy_min_error_histogram,9.21534118,0.037396495,16,13.03846154,5.192307692,60,0,(<class '__main__.FineGrainedBucket'> : 9.295052737296144) (<class '__main__.FineGrainedBucket'> : 12.822262712184871) (<class '__main__.FineGrainedBucket'> : 12.719176810681947) (<class '__main__.FineGrainedBucket'> : 4.706740372268613) 
4,4,depth-distinct,greedy_avg_res_histogram,9.21534118,0.037396495,16,13.03846154,5.192307692,60,0,(<class '__main__.FineGrainedBucket'> : 9.295052737296144) (<class '__main__.FineGrainedBucket'> : 12.822262712184871) (<class '__main__.FineGrainedBucket'> : 12.719176810681947) (<class '__main__.FineGrainedBucket'> : 4.706740372268613) 
4,4,depth-distinct,simulated_annealing_histogram_first,9.21534118,0.037396495,16,13.03846154,5.192307692,60,0,(<class '__main__.FineGrainedBucket'> : 9.295052737296144) (<class '__main__.FineGrainedBucket'> : 12.822262712184871) (<class '__main__.FineGrainedBucket'> : 12.719176810681947) (<class '__main__.FineGrainedBucket'> : 4.706740372268613) 
4,4,depth-distinct,simulated_annealing_histogram_middle,9.21534118,0.037396495,16,13.03846154,5.192307692,60,0,(<class '__main__.FineGrainedBucket'> : 9.295052737296144) (<class '__main__.FineGrainedBucket'> : 12.822262712184871) (<class '__main__.FineGrainedBucket'> : 12.719176810681947) (<class '__main__.FineGrainedBucket'> : 4.706740372268613) 
