max # buckets,actual # buckets,ground truth split strategy,algorithm,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
19,19,width,greedy_avg_res_histogram,0.2844930843074974,0.22285226422150903,67,96.78365384615385,26.17067307692308,75.0,66.66666666666666,(<class '__main__.FineGrainedBucket'> : 0.10339003277560473) (<class '__main__.CoarseGrainedBloomBucket'> : 0.034678071222327515) (<class '__main__.FineGrainedBucket'> : 0.08173710480725735) (<class '__main__.FineGrainedBucket'> : 0.09319463821998744) (<class '__main__.FineGrainedBucket'> : 0.20836439963788064) (<class '__main__.FineGrainedBucket'> : 0.44453293280793726) (<class '__main__.FineGrainedBucket'> : 0.530769434935019) (<class '__main__.FineGrainedBucket'> : 0.4764676769449333) (<class '__main__.FineGrainedBucket'> : 0.4174668704633441) (<class '__main__.FineGrainedBucket'> : 0.38505166649277683) (<class '__main__.FineGrainedBucket'> : 0.38157945971484486) (<class '__main__.FineGrainedBucket'> : 0.3626936451341646) (<class '__main__.FineGrainedBucket'> : 0.30466063927616405) (<class '__main__.FineGrainedBucket'> : 0.21309511819565205) (<class '__main__.FineGrainedBucket'> : 0.14621577810644182) (<class '__main__.CoarseGrainedBloomBucket'> : 0.0016186358698986555) (<class '__main__.FineGrainedBucket'> : 0.036553944526610455) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.011445469005319236)
19,19,width,simulated_annealing_histogram_last,0.31301533816370913,0.2211513444954551,64,99.33173076923076,25.14903846153846,98.0,100.0,(<class '__main__.FineGrainedBucket'> : 0.10339003277560473) (<class '__main__.CoarseGrainedBloomBucket'> : 0.034678071222327515) (<class '__main__.FineGrainedBucket'> : 0.08173710480725735) (<class '__main__.CoarseGrainedBloomBucket'> : 0.05477115555494837) (<class '__main__.FineGrainedBucket'> : 0.9944551551694925) (<class '__main__.FineGrainedBucket'> : 0.44453293280793726) (<class '__main__.FineGrainedBucket'> : 0.24364637069591444) (<class '__main__.FineGrainedBucket'> : 0.22246676488501263) (<class '__main__.FineGrainedBucket'> : 0.4174668704633441) (<class '__main__.FineGrainedBucket'> : 0.18436823885130302) (<class '__main__.FineGrainedBucket'> : 0.18348506674739262) (<class '__main__.FineGrainedBucket'> : 0.3626936451341646) (<class '__main__.FineGrainedBucket'> : 0.30466063927616405) (<class '__main__.FineGrainedBucket'> : 0.21309511819565205) (<class '__main__.CoarseGrainedBloomBucket'> : 0.1578481218588226) (<class '__main__.FineGrainedBucket'> : 0.06838616827685845) (<class '__main__.FineGrainedBucket'> : 0.036553944526610455) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.04444616195056652)
20,20,depth-count,greedy_avg_res_histogram,0.278937744114359,0.22502663853176819,77,91.73076923076923,27.92548076923077,76.0,33.33333333333333,(<class '__main__.FineGrainedBucket'> : 0.2385289380823807) (<class '__main__.FineGrainedBucket'> : 0.27765512993217534) (<class '__main__.FineGrainedBucket'> : 0.29477032334658565) (<class '__main__.FineGrainedBucket'> : 0.31518205742951566) (<class '__main__.FineGrainedBucket'> : 0.2700729803916531) (<class '__main__.FineGrainedBucket'> : 0.2304533465253817) (<class '__main__.FineGrainedBucket'> : 0.23641092403067052) (<class '__main__.FineGrainedBucket'> : 0.22822890345375813) (<class '__main__.FineGrainedBucket'> : 0.3161111283175824) (<class '__main__.FineGrainedBucket'> : 0.23046527070594594) (<class '__main__.FineGrainedBucket'> : 0.29920618897224915) (<class '__main__.FineGrainedBucket'> : 0.26168099174010934) (<class '__main__.FineGrainedBucket'> : 0.24509892832235364) (<class '__main__.FineGrainedBucket'> : 0.28843237846507375) (<class '__main__.FineGrainedBucket'> : 0.2791118526729274) (<class '__main__.FineGrainedBucket'> : 0.25076995102183125) (<class '__main__.FineGrainedBucket'> : 0.24497244581672722) (<class '__main__.CoarseGrainedBloomBucket'> : 0.13369069698377192) (<class '__main__.FineGrainedBucket'> : 0.28492618813007903) (<class '__main__.FineGrainedBucket'> : 0.3271570982024133)
20,20,depth-count,simulated_annealing_histogram_last,0.31141519537476825,0.2115729271929221,74,86.48076923076923,26.197115384615383,94.0,66.66666666666666,(<class '__main__.FineGrainedBucket'> : 0.2385289380823807) (<class '__main__.CoarseGrainedBloomBucket'> : 0.5757735523436773) (<class '__main__.FineGrainedBucket'> : 0.29477032334658565) (<class '__main__.FineGrainedBucket'> : 0.31518205742951566) (<class '__main__.FineGrainedBucket'> : 0.2700729803916531) (<class '__main__.FineGrainedBucket'> : 0.11154148157358809) (<class '__main__.FineGrainedBucket'> : 0.23641092403067052) (<class '__main__.FineGrainedBucket'> : 0.22822890345375813) (<class '__main__.FineGrainedBucket'> : 0.3161111283175824) (<class '__main__.FineGrainedBucket'> : 0.23046527070594594) (<class '__main__.FineGrainedBucket'> : 0.29920618897224915) (<class '__main__.FineGrainedBucket'> : 0.26168099174010934) (<class '__main__.FineGrainedBucket'> : 0.11888704766940161) (<class '__main__.FineGrainedBucket'> : 0.28843237846507375) (<class '__main__.FineGrainedBucket'> : 0.2791118526729274) (<class '__main__.FineGrainedBucket'> : 0.25076995102183125) (<class '__main__.FineGrainedBucket'> : 0.24497244581672722) (<class '__main__.FineGrainedBucket'> : 0.25519555591541454) (<class '__main__.CoarseGrainedBloomBucket'> : 0.6036104023166557) (<class '__main__.FineGrainedBucket'> : 0.3271570982024133)
20,20,depth-distinct,greedy_avg_res_histogram,0.278937744114359,0.22502663853176819,77,91.73076923076923,27.92548076923077,76.0,33.33333333333333,(<class '__main__.FineGrainedBucket'> : 0.2385289380823807) (<class '__main__.FineGrainedBucket'> : 0.27765512993217534) (<class '__main__.FineGrainedBucket'> : 0.29477032334658565) (<class '__main__.FineGrainedBucket'> : 0.31518205742951566) (<class '__main__.FineGrainedBucket'> : 0.2700729803916531) (<class '__main__.FineGrainedBucket'> : 0.2304533465253817) (<class '__main__.FineGrainedBucket'> : 0.23641092403067052) (<class '__main__.FineGrainedBucket'> : 0.22822890345375813) (<class '__main__.FineGrainedBucket'> : 0.3161111283175824) (<class '__main__.FineGrainedBucket'> : 0.23046527070594594) (<class '__main__.FineGrainedBucket'> : 0.29920618897224915) (<class '__main__.FineGrainedBucket'> : 0.26168099174010934) (<class '__main__.FineGrainedBucket'> : 0.24509892832235364) (<class '__main__.FineGrainedBucket'> : 0.28843237846507375) (<class '__main__.FineGrainedBucket'> : 0.2791118526729274) (<class '__main__.FineGrainedBucket'> : 0.25076995102183125) (<class '__main__.FineGrainedBucket'> : 0.24497244581672722) (<class '__main__.CoarseGrainedBloomBucket'> : 0.13369069698377192) (<class '__main__.FineGrainedBucket'> : 0.28492618813007903) (<class '__main__.FineGrainedBucket'> : 0.3271570982024133)
20,20,depth-distinct,simulated_annealing_histogram_last,0.4683707363250977,0.21728446848062652,68,94.27884615384615,25.538461538461537,97.0,66.66666666666666,(<class '__main__.CoarseGrainedBloomBucket'> : 0.5652202601766516) (<class '__main__.FineGrainedBucket'> : 0.27765512993217534) (<class '__main__.FineGrainedBucket'> : 0.29477032334658565) (<class '__main__.CoarseGrainedBloomBucket'> : 0.5907024124668155) (<class '__main__.FineGrainedBucket'> : 0.2700729803916531) (<class '__main__.FineGrainedBucket'> : 0.2304533465253817) (<class '__main__.FineGrainedBucket'> : 0.23641092403067052) (<class '__main__.FineGrainedBucket'> : 0.22822890345375813) (<class '__main__.FineGrainedBucket'> : 0.3161111283175824) (<class '__main__.FineGrainedBucket'> : 0.10804856034580587) (<class '__main__.FineGrainedBucket'> : 0.29920618897224915) (<class '__main__.FineGrainedBucket'> : 0.26168099174010934) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.999771192177269) (<class '__main__.FineGrainedBucket'> : 0.28843237846507375) (<class '__main__.FineGrainedBucket'> : 0.2791118526729274) (<class '__main__.FineGrainedBucket'> : 0.12149446826823926) (<class '__main__.FineGrainedBucket'> : 0.24497244581672722) (<class '__main__.FineGrainedBucket'> : 0.1180858899095733) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.9998518558015509) (<class '__main__.FineGrainedBucket'> : 0.3271570982024133)
20,20,width,greedy_avg_res_histogram,0.283805676586978,0.21990538783033028,74,89.39903846153847,27.350961538461537,72.0,33.33333333333333,(<class '__main__.FineGrainedBucket'> : 0.10607605978034967) (<class '__main__.FineGrainedBucket'> : 0.07955704483526226) (<class '__main__.FineGrainedBucket'> : 0.07955704483526226) (<class '__main__.FineGrainedBucket'> : 0.07955704483526226) (<class '__main__.FineGrainedBucket'> : 0.16559454170481663) (<class '__main__.FineGrainedBucket'> : 0.40380268466734687) (<class '__main__.FineGrainedBucket'> : 0.5001888787700085) (<class '__main__.FineGrainedBucket'> : 0.49595854793871275) (<class '__main__.FineGrainedBucket'> : 0.4704958678306104) (<class '__main__.FineGrainedBucket'> : 0.36355731685125986) (<class '__main__.FineGrainedBucket'> : 0.4098932906519815) (<class '__main__.FineGrainedBucket'> : 0.36160250943310984) (<class '__main__.FineGrainedBucket'> : 0.36445512623328846) (<class '__main__.FineGrainedBucket'> : 0.2624828300242939) (<class '__main__.FineGrainedBucket'> : 0.18935452024204946) (<class '__main__.CoarseGrainedBloomBucket'> : 0.018567024237823526) (<class '__main__.FineGrainedBucket'> : 0.04593228125156979) (<class '__main__.FineGrainedBucket'> : 0.03750355059611742) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.FineGrainedBucket'> : 0.016772074578476678)
20,20,width,simulated_annealing_histogram_last,0.2862820604549804,0.21513135974172562,71,91.53365384615385,25.737980769230766,95.0,100.0,(<class '__main__.CoarseGrainedBloomBucket'> : 0.06739599624677624) (<class '__main__.FineGrainedBucket'> : 0.07955704483526226) (<class '__main__.FineGrainedBucket'> : 0.07955704483526226) (<class '__main__.FineGrainedBucket'> : 0.07955704483526226) (<class '__main__.FineGrainedBucket'> : 0.16559454170481663) (<class '__main__.FineGrainedBucket'> : 0.40380268466734687) (<class '__main__.FineGrainedBucket'> : 0.23345476643435867) (<class '__main__.FineGrainedBucket'> : 0.49595854793871275) (<class '__main__.FineGrainedBucket'> : 0.4704958678306104) (<class '__main__.FineGrainedBucket'> : 0.17582883725321632) (<class '__main__.FineGrainedBucket'> : 0.4098932906519815) (<class '__main__.FineGrainedBucket'> : 0.17084891041345865) (<class '__main__.FineGrainedBucket'> : 0.36445512623328846) (<class '__main__.FineGrainedBucket'> : 0.2624828300242939) (<class '__main__.FineGrainedBucket'> : 0.18935452024204946) (<class '__main__.FineGrainedBucket'> : 0.6376036153570952) (<class '__main__.FineGrainedBucket'> : 0.04593228125156979) (<class '__main__.FineGrainedBucket'> : 0.15028971079358738) (<class '__main__.CoarseGrainedBloomBucket'> : 0.0) (<class '__main__.CoarseGrainedBloomBucket'> : 0.07978194159751636)
21,21,depth-count,greedy_avg_res_histogram,0.27510113257100466,0.23437569191406654,81,94.99038461538461,29.223557692307693,80.0,33.33333333333333,(<class '__main__.FineGrainedBucket'> : 0.23230534001018419) (<class '__main__.FineGrainedBucket'> : 0.2698110272734903) (<class '__main__.FineGrainedBucket'> : 0.22082464664862583) (<class '__main__.FineGrainedBucket'> : 0.2916783193980766) (<class '__main__.FineGrainedBucket'> : 0.2608836660374512) (<class '__main__.FineGrainedBucket'> : 0.2435592369965774) (<class '__main__.FineGrainedBucket'> : 0.2430820267378491) (<class '__main__.FineGrainedBucket'> : 0.22886563927454004) (<class '__main__.FineGrainedBucket'> : 0.21556843201225923) (<class '__main__.FineGrainedBucket'> : 0.2308114414877915) (<class '__main__.FineGrainedBucket'> : 0.3066359807496657) (<class '__main__.FineGrainedBucket'> : 0.29315688278600793) (<class '__main__.FineGrainedBucket'> : 0.25679280938886956) (<class '__main__.FineGrainedBucket'> : 0.25511972261077825) (<class '__main__.FineGrainedBucket'> : 0.2785032980900468) (<class '__main__.FineGrainedBucket'> : 0.2887889987755575) (<class '__main__.FineGrainedBucket'> : 0.24664201228709026) (<class '__main__.FineGrainedBucket'> : 0.24089716841186362) (<class '__main__.CoarseGrainedBloomBucket'> : 0.12562455717857465) (<class '__main__.FineGrainedBucket'> : 0.29446524414481484) (<class '__main__.FineGrainedBucket'> : 0.3271570982024133)
21,21,depth-count,simulated_annealing_histogram_last,0.2950680261158701,0.22092198057522047,78,89.74038461538461,27.495192307692307,98.0,66.66666666666666,(<class '__main__.FineGrainedBucket'> : 0.23230534001018419) (<class '__main__.FineGrainedBucket'> : 0.12602388378918153) (<class '__main__.FineGrainedBucket'> : 0.22082464664862583) (<class '__main__.CoarseGrainedBloomBucket'> : 0.5654708986927662) (<class '__main__.FineGrainedBucket'> : 0.2608836660374512) (<class '__main__.FineGrainedBucket'> : 0.2435592369965774) (<class '__main__.FineGrainedBucket'> : 0.2430820267378491) (<class '__main__.FineGrainedBucket'> : 0.22886563927454004) (<class '__main__.FineGrainedBucket'> : 0.21556843201225923) (<class '__main__.FineGrainedBucket'> : 0.2308114414877915) (<class '__main__.FineGrainedBucket'> : 0.3066359807496657) (<class '__main__.FineGrainedBucket'> : 0.29315688278600793) (<class '__main__.FineGrainedBucket'> : 0.25679280938886956) (<class '__main__.FineGrainedBucket'> : 0.25511972261077825) (<class '__main__.FineGrainedBucket'> : 0.2785032980900468) (<class '__main__.FineGrainedBucket'> : 0.1409559708993032) (<class '__main__.FineGrainedBucket'> : 0.24664201228709026) (<class '__main__.CoarseGrainedBloomBucket'> : 0.5658366206703119) (<class '__main__.FineGrainedBucket'> : 0.250452192547829) (<class '__main__.FineGrainedBucket'> : 0.29446524414481484) (<class '__main__.FineGrainedBucket'> : 0.3271570982024133)
