max # buckets,actual # buckets,ground truth split strategy,algorithm,overall err,weighted res. consumption,latency (cycles),LUTs (%),FFs (%),BRAM (%),DSPs (%),(bucket type : per bucket err)
19,19,width,greedy_min_error_histogram,25.297539746808962,0.18044149857298875,19,93.9423076923077,17.295673076923077,0.0,100.0,(<class '__main__.CoarseGrainedDistinctBucket'> : 2.23606797749979) (<class '__main__.CoarseGrainedDistinctBucket'> : 12.56368392813803) (<class '__main__.CoarseGrainedDistinctBucket'> : 21.147831312708384) (<class '__main__.CoarseGrainedDistinctBucket'> : 43.30127018922193) (<class '__main__.CoarseGrainedBloomBucket'> : 23.77498685593748) (<class '__main__.CoarseGrainedBloomBucket'> : 0.28867513459481287) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedBloomBucket'> : 3.1490739379485304) (<class '__main__.CoarseGrainedDistinctBucket'> : 96.16695551660837) (<class '__main__.CoarseGrainedDistinctBucket'> : 3.5237290853109955) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9607689228305228)
19,19,width,greedy_avg_res_histogram,288.40588915025944,0.1630243884080482,19,80.96634615384616,16.603365384615383,0.0,66.66666666666666,(<class '__main__.CoarseGrainedBloomBucket'> : 1.7097008285302207) (<class '__main__.CoarseGrainedDistinctBucket'> : 12.56368392813803) (<class '__main__.CoarseGrainedDistinctBucket'> : 21.147831312708384) (<class '__main__.CoarseGrainedSimpleBucket'> : 1263.908356382429) (<class '__main__.CoarseGrainedDistinctBucket'> : 26.688012290165037) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.7071067811865476) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedBloomBucket'> : 3.1490739379485304) (<class '__main__.CoarseGrainedDistinctBucket'> : 96.16695551660837) (<class '__main__.CoarseGrainedDistinctBucket'> : 3.5237290853109955) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9607689228305228)
20,20,depth-distinct,greedy_min_error_histogram,534.4639434953042,0.1882568740911477,20,99.5576923076923,17.658653846153847,0.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 7.837638128197259) (<class '__main__.CoarseGrainedDistinctBucket'> : 2.179449471770337) (<class '__main__.CoarseGrainedDistinctBucket'> : 1.5) (<class '__main__.CoarseGrainedDistinctBucket'> : 1.6583123951777) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.092676385936225) (<class '__main__.CoarseGrainedDistinctBucket'> : 13.793114224133722) (<class '__main__.CoarseGrainedDistinctBucket'> : 7.3824115301167) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.301162633521313) (<class '__main__.CoarseGrainedDistinctBucket'> : 13.793114224133722) (<class '__main__.CoarseGrainedDistinctBucket'> : 29.614185789921695) (<class '__main__.CoarseGrainedDistinctBucket'> : 25.283393759541063) (<class '__main__.CoarseGrainedDistinctBucket'> : 11.4564392373896) (<class '__main__.CoarseGrainedDistinctBucket'> : 6.041522986797286) (<class '__main__.CoarseGrainedDistinctBucket'> : 25.37222891273055) (<class '__main__.CoarseGrainedSimpleBucket'> : 33.36415241942566) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.222953153106642) (<class '__main__.CoarseGrainedSimpleBucket'> : 18.780137070508744) (<class '__main__.CoarseGrainedSimpleBucket'> : 50.2618145315109) (<class '__main__.CoarseGrainedSimpleBucket'> : 116.76365016562303) (<class '__main__.CoarseGrainedSimpleBucket'> : 852.702504065492)
20,20,depth-distinct,greedy_avg_res_histogram,74.08833846531938,0.18254536476252253,26,91.75961538461539,18.31730769230769,2.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 7.837638128197259) (<class '__main__.CoarseGrainedSimpleBucket'> : 14.396180048887969) (<class '__main__.CoarseGrainedDistinctBucket'> : 1.5) (<class '__main__.CoarseGrainedSimpleBucket'> : 27.798381247835277) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.092676385936225) (<class '__main__.CoarseGrainedDistinctBucket'> : 13.793114224133722) (<class '__main__.CoarseGrainedSimpleBucket'> : 157.67212816474571) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.301162633521313) (<class '__main__.CoarseGrainedDistinctBucket'> : 13.793114224133722) (<class '__main__.CoarseGrainedSimpleBucket'> : 494.3874998419762) (<class '__main__.CoarseGrainedDistinctBucket'> : 25.283393759541063) (<class '__main__.CoarseGrainedDistinctBucket'> : 11.4564392373896) (<class '__main__.CoarseGrainedSimpleBucket'> : 180.10136035022057) (<class '__main__.CoarseGrainedDistinctBucket'> : 25.37222891273055) (<class '__main__.CoarseGrainedDistinctBucket'> : 7.947746011710909) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.7071067811865476) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.CoarseGrainedDistinctBucket'> : 1.3228756555322954) (<class '__main__.CoarseGrainedSimpleBucket'> : 116.76365016562303) (<class '__main__.FineGrainedBucket'> : 0.0)
20,20,depth-distinct,simulated_annealing_histogram_last,23.64582415565167,0.18842922301393236,26,96.78846153846153,18.389423076923077,16.0,100.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 7.837638128197259) (<class '__main__.CoarseGrainedSimpleBucket'> : 14.396180048887969) (<class '__main__.CoarseGrainedSimpleBucket'> : 12.835497652993435) (<class '__main__.CoarseGrainedBloomBucket'> : 1.6583123951777) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.092676385936225) (<class '__main__.CoarseGrainedDistinctBucket'> : 13.793114224133722) (<class '__main__.CoarseGrainedSimpleBucket'> : 157.67212816474571) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.301162633521313) (<class '__main__.CoarseGrainedBloomBucket'> : 13.793114224133722) (<class '__main__.CoarseGrainedDistinctBucket'> : 29.614185789921695) (<class '__main__.CoarseGrainedDistinctBucket'> : 25.283393759541063) (<class '__main__.CoarseGrainedDistinctBucket'> : 11.4564392373896) (<class '__main__.CoarseGrainedDistinctBucket'> : 6.041522986797286) (<class '__main__.CoarseGrainedDistinctBucket'> : 25.37222891273055) (<class '__main__.CoarseGrainedSimpleBucket'> : 33.36415241942566) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.222953153106642) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 50.2618145315109) (<class '__main__.CoarseGrainedBloomBucket'> : 10.965856099730654) (<class '__main__.FineGrainedBucket'> : 0.0)
20,20,width,greedy_min_error_histogram,26.38279219752775,0.18390882857037372,20,95.50961538461539,17.6875,0.0,100.0,(<class '__main__.CoarseGrainedBloomBucket'> : 1.7559422921421233) (<class '__main__.CoarseGrainedDistinctBucket'> : 6.819090848492928) (<class '__main__.CoarseGrainedDistinctBucket'> : 12.17237309100681) (<class '__main__.CoarseGrainedDistinctBucket'> : 37.62313118282422) (<class '__main__.CoarseGrainedDistinctBucket'> : 21.865116814994) (<class '__main__.CoarseGrainedBloomBucket'> : 4.222953153106642) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.9128709291752769) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 2.8722813232690143) (<class '__main__.CoarseGrainedDistinctBucket'> : 20.416125533954325) (<class '__main__.CoarseGrainedDistinctBucket'> : 109.32353984223326) (<class '__main__.CoarseGrainedBloomBucket'> : 0.30151134457776363) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9574271077563381)
20,20,width,greedy_avg_res_histogram,75.81144372718408,0.15851473221513032,20,76.30288461538461,16.75,0.0,66.66666666666666,(<class '__main__.CoarseGrainedBloomBucket'> : 1.7559422921421233) (<class '__main__.CoarseGrainedDistinctBucket'> : 6.819090848492928) (<class '__main__.CoarseGrainedDistinctBucket'> : 12.17237309100681) (<class '__main__.CoarseGrainedDistinctBucket'> : 37.62313118282422) (<class '__main__.CoarseGrainedDistinctBucket'> : 21.865116814994) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.645786621588784) (<class '__main__.CoarseGrainedBloomBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 2.8722813232690143) (<class '__main__.CoarseGrainedSimpleBucket'> : 327.00097303163545) (<class '__main__.CoarseGrainedDistinctBucket'> : 109.32353984223326) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.5924839782963955) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.0) (<class '__main__.CoarseGrainedSimpleBucket'> : 0.9574271077563381)
21,21,depth-distinct,greedy_avg_res_histogram,64.30155250981437,0.18677316744338304,27,92.6875,19.040865384615387,2.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 7.837638128197259) (<class '__main__.CoarseGrainedSimpleBucket'> : 14.396180048887969) (<class '__main__.CoarseGrainedDistinctBucket'> : 1.5) (<class '__main__.CoarseGrainedSimpleBucket'> : 27.798381247835277) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.092676385936225) (<class '__main__.CoarseGrainedDistinctBucket'> : 13.793114224133722) (<class '__main__.CoarseGrainedSimpleBucket'> : 157.67212816474571) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.301162633521313) (<class '__main__.CoarseGrainedSimpleBucket'> : 292.07576071971465) (<class '__main__.CoarseGrainedDistinctBucket'> : 29.614185789921695) (<class '__main__.CoarseGrainedDistinctBucket'> : 25.283393759541063) (<class '__main__.CoarseGrainedSimpleBucket'> : 235.02925349836772) (<class '__main__.CoarseGrainedDistinctBucket'> : 6.041522986797286) (<class '__main__.CoarseGrainedSimpleBucket'> : 141.05052286326344) (<class '__main__.CoarseGrainedDistinctBucket'> : 7.947746011710909) (<class '__main__.CoarseGrainedDistinctBucket'> : 0.7071067811865476) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.CoarseGrainedDistinctBucket'> : 1.3228756555322954) (<class '__main__.CoarseGrainedDistinctBucket'> : 10.965856099730654) (<class '__main__.CoarseGrainedSimpleBucket'> : 226.76805330557477) (<class '__main__.FineGrainedBucket'> : 0.0)
21,21,depth-distinct,simulated_annealing_histogram_last,31.29482991342731,0.19675502977103287,24,96.625,20.3125,1.0,0.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 7.837638128197259) (<class '__main__.CoarseGrainedSimpleBucket'> : 14.396180048887969) (<class '__main__.CoarseGrainedSimpleBucket'> : 12.835497652993435) (<class '__main__.CoarseGrainedSimpleBucket'> : 27.798381247835277) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.092676385936225) (<class '__main__.CoarseGrainedDistinctBucket'> : 13.793114224133722) (<class '__main__.CoarseGrainedSimpleBucket'> : 157.67212816474571) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.301162633521313) (<class '__main__.CoarseGrainedDistinctBucket'> : 13.793114224133722) (<class '__main__.CoarseGrainedDistinctBucket'> : 29.614185789921695) (<class '__main__.CoarseGrainedDistinctBucket'> : 25.283393759541063) (<class '__main__.CoarseGrainedDistinctBucket'> : 11.4564392373896) (<class '__main__.CoarseGrainedDistinctBucket'> : 6.041522986797286) (<class '__main__.CoarseGrainedSimpleBucket'> : 141.05052286326344) (<class '__main__.CoarseGrainedDistinctBucket'> : 7.947746011710909) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.222953153106642) (<class '__main__.CoarseGrainedSimpleBucket'> : 18.780137070508744) (<class '__main__.CoarseGrainedSimpleBucket'> : 50.2618145315109) (<class '__main__.CoarseGrainedDistinctBucket'> : 10.965856099730654) (<class '__main__.CoarseGrainedDistinctBucket'> : 21.465087933665682) (<class '__main__.FineGrainedBucket'> : 0.0)
21,21,depth-distinct,simulated_annealing_histogram_random,37.62301661629945,0.1888812714068305,27,96.14903846153847,18.651442307692307,19.0,100.0,(<class '__main__.CoarseGrainedSimpleBucket'> : 7.837638128197259) (<class '__main__.CoarseGrainedSimpleBucket'> : 14.396180048887969) (<class '__main__.CoarseGrainedSimpleBucket'> : 12.835497652993435) (<class '__main__.CoarseGrainedSimpleBucket'> : 27.798381247835277) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.092676385936225) (<class '__main__.CoarseGrainedBloomBucket'> : 13.793114224133722) (<class '__main__.CoarseGrainedSimpleBucket'> : 157.67212816474571) (<class '__main__.CoarseGrainedDistinctBucket'> : 4.301162633521313) (<class '__main__.CoarseGrainedDistinctBucket'> : 13.793114224133722) (<class '__main__.CoarseGrainedBloomBucket'> : 29.614185789921695) (<class '__main__.CoarseGrainedDistinctBucket'> : 25.283393759541063) (<class '__main__.CoarseGrainedBloomBucket'> : 11.4564392373896) (<class '__main__.CoarseGrainedDistinctBucket'> : 6.041522986797286) (<class '__main__.CoarseGrainedDistinctBucket'> : 25.37222891273055) (<class '__main__.CoarseGrainedSimpleBucket'> : 33.36415241942566) (<class '__main__.CoarseGrainedSimpleBucket'> : 4.222953153106642) (<class '__main__.FineGrainedBucket'> : 0.0) (<class '__main__.CoarseGrainedDistinctBucket'> : 1.3228756555322954) (<class '__main__.CoarseGrainedDistinctBucket'> : 10.965856099730654) (<class '__main__.CoarseGrainedSimpleBucket'> : 226.76805330557477) (<class '__main__.FineGrainedBucket'> : 0.0)
